Domains Frequency Analysis
==================================================

Files processed: 27,866
Files with domains: 13,088
Total domains instances: 2,597,234
Unique domains types: 4,625

Complete frequency list (sorted by frequency):
Rank	Term	Frequency	Percentage
812	hDGE_amylase	723	0.028%
813	2-Hacid_dh	722	0.028%
814	TonB_C	721	0.028%
815	DDE_3	721	0.028%
816	PAF-AH_p_II	721	0.028%
817	Sua5_yciO_yrdC	718	0.028%
818	AnmK	717	0.028%
819	FtsK_SpoIIIE	717	0.028%
820	4HBT	717	0.028%
821	Rad1	717	0.028%
822	Copine	714	0.027%
823	UDPGP	714	0.027%
824	GDP_Man_Dehyd	713	0.027%
825	CwfJ_C_1	713	0.027%
826	4HBT_3	713	0.027%
827	NTF2	713	0.027%
828	PIP5K	712	0.027%
829	Enolase_C	712	0.027%
830	Suc_Fer-like	711	0.027%
831	Nop53	711	0.027%
832	MFS_3	710	0.027%
833	PTS_EIIA_2	710	0.027%
834	Nup192	709	0.027%
835	eIF-3c_N	709	0.027%
836	TMEM144	709	0.027%
837	DLH	708	0.027%
838	G-alpha	708	0.027%
839	C1q	707	0.027%
840	Recep_L_domain	707	0.027%
841	Hid1	706	0.027%
842	Acetyltransf_3	705	0.027%
843	CAP_GLY	705	0.027%
844	Glyco_hydro_35	705	0.027%
845	Cation_efflux	704	0.027%
846	Big_5	703	0.027%
847	PPR_3	701	0.027%
848	Peptidase_M16	700	0.027%
849	Iso_dh	700	0.027%
850	Methyltrn_RNA_3	699	0.027%
851	PNTB	698	0.027%
852	Hydrolase_like	697	0.027%
853	CAP_N	697	0.027%
854	YjgP_YjgQ	696	0.027%
855	Vps35	696	0.027%
856	MT	696	0.027%
857	MAGE	695	0.027%
858	A_deamin	695	0.027%
859	MCM	692	0.027%
860	Motile_Sperm	692	0.027%
861	Asparaginase_2	690	0.027%
862	ALG3	690	0.027%
863	TLC	690	0.027%
864	C1-set	690	0.027%
865	DUF21	689	0.027%
866	4HB_MCP_1	689	0.027%
867	Acatn	689	0.027%
868	Lig_chan	688	0.026%
869	SQS_PSY	687	0.026%
870	DUF819	687	0.026%
871	ADP_PFK_GK	687	0.026%
872	NIF3	686	0.026%
873	Toprim	684	0.026%
874	T2SSF	684	0.026%
875	HD_4	683	0.026%
876	RskA	683	0.026%
877	Phage_portal_2	682	0.026%
878	Methyltransf_33	682	0.026%
879	SIR2	682	0.026%
880	Telomerase_RBD	682	0.026%
881	Polyketide_cyc	682	0.026%
882	ADP_ribosyl_GH	682	0.026%
883	Glyco_transf_15	682	0.026%
884	Aminotran_4	681	0.026%
885	Erythro_esteras	680	0.026%
886	DHFR_1	679	0.026%
887	Xpo1	678	0.026%
888	Mnd1	677	0.026%
889	Transpeptidase	676	0.026%
890	rRNA_proc-arch	676	0.026%
891	XRN_N	675	0.026%
892	VPS9	675	0.026%
893	HAMP	674	0.026%
894	MFS_1_like	674	0.026%
895	Gelsolin	674	0.026%
896	GAF	673	0.026%
897	Rubis-subs-bind	673	0.026%
898	HlyIII	673	0.026%
899	RIBIOP_C	671	0.026%
900	Kazal_1	670	0.026%
901	Trp_DMAT	669	0.026%
902	Ufd2P_core	668	0.026%
903	Chromate_transp	667	0.026%
904	YjeF_N	666	0.026%
905	CarbopepD_reg_2	666	0.026%
906	tRNA_anti-codon	665	0.026%
907	DnaB_C	663	0.026%
908	Ldh_1_C	663	0.026%
909	mit_SMPDase	663	0.026%
910	Dus	662	0.025%
911	Phytase-like	660	0.025%
912	RdRP	658	0.025%
913	Guanylate_kin	657	0.025%
914	HAD	657	0.025%
915	ORC4_C	656	0.025%
916	DPPIV_N	656	0.025%
917	DUF2828	656	0.025%
918	SRCR	653	0.025%
919	GSHPx	653	0.025%
920	MoCF_biosynth	652	0.025%
921	PQ-loop	651	0.025%
922	gag_pre-integrs	651	0.025%
923	ArgK	649	0.025%
924	AAR2	649	0.025%
925	ATP-grasp_5	649	0.025%
926	S4	648	0.025%
927	FA_desaturase	648	0.025%
928	Glyco_hydro_114	648	0.025%
929	RDD	648	0.025%
930	Methyltransf_3	647	0.025%
931	CPSase_L_D2	645	0.025%
932	NHL	644	0.025%
933	Peptidase_C54	644	0.025%
934	GD_AH_C	643	0.025%
935	GrpE	641	0.025%
936	Cthe_2159	641	0.025%
937	DUF2151	641	0.025%
938	SCO1-SenC	639	0.025%
939	Methyltransf_7	637	0.025%
940	Mito_fiss_Elm1	636	0.024%
941	KH_1	636	0.024%
942	DUF1682	636	0.024%
943	Transferrin	636	0.024%
944	Glutaredoxin	635	0.024%
945	PTS_EIIC	634	0.024%
946	Ribosomal_S9	631	0.024%
947	Dirigent	631	0.024%
948	tRNA_synt_2f	630	0.024%
949	DUF1016	628	0.024%
950	DUF4420	626	0.024%
951	Lant_dehydr_N	626	0.024%
952	DUF1995	626	0.024%
953	Cse1	626	0.024%
954	Solute_trans_a	625	0.024%
955	GRDP-like	625	0.024%
956	Atg14	625	0.024%
957	BNR_2	624	0.024%
958	Pyr_redox_3	623	0.024%
959	DUF2009	622	0.024%
960	ABC_sub_bind	622	0.024%
961	AAA_26	621	0.024%
962	Glyco_hydro_17	621	0.024%
963	Ribonuclease_3	620	0.024%
964	ATP_bind_1	620	0.024%
965	DUF4953	620	0.024%
966	CoaE	618	0.024%
967	Ins_P5_2-kin	618	0.024%
968	Hexokinase_2	618	0.024%
969	NAD_binding_2	617	0.024%
970	DUF89	616	0.024%
971	Pex2_Pex12	615	0.024%
972	FAD_binding_6	615	0.024%
973	wnt	615	0.024%
974	Cas_Csd1	615	0.024%
975	Abhydrolase_2	614	0.024%
976	Ribosomal_S7	613	0.024%
977	DUF547	612	0.024%
978	RIB43A	612	0.024%
979	HTH_31	611	0.024%
980	Orn_Arg_deC_N	611	0.024%
981	CBM_20	611	0.024%
982	Ric8	611	0.024%
983	Esterase_phd	610	0.023%
984	FBPase	610	0.023%
985	SNAP	609	0.023%
986	Sortilin-Vps10	609	0.023%
987	DBD_Tnp_Mut	608	0.023%
988	AAA_9	607	0.023%
989	WEMBL	607	0.023%
990	Cyclin_C	606	0.023%
991	Hormone_recep	606	0.023%
992	DUF812	604	0.023%
993	UbiA	603	0.023%
994	PEMT	603	0.023%
995	Cons_hypoth698	603	0.023%
996	Dor1	602	0.023%
997	HSP20	602	0.023%
998	FIST	602	0.023%
999	ORC3_N	602	0.023%
1000	BPL_N	601	0.023%
1001	Ferric_reduct	601	0.023%
1002	HLH	600	0.023%
1003	2OG-FeII_Oxy_3	599	0.023%
1004	AKAP7_NLS	599	0.023%
1005	Haspin_kinase	598	0.023%
1006	Sigma70_r4_2	597	0.023%
1007	3Beta_HSD	596	0.023%
1008	MctB	596	0.023%
1009	BRCT	595	0.023%
1010	DUF2451	595	0.023%
1011	Sec10	595	0.023%
1012	Exo70	594	0.023%
1013	PAPS_reduct	594	0.023%
1014	Syntaxin	594	0.023%
1015	BAH	593	0.023%
1016	Glyco_tran_10_N	592	0.023%
1017	DUF4486	592	0.023%
1018	LBP_BPI_CETP_C	591	0.023%
1019	LIP	590	0.023%
1020	Takusan	589	0.023%
1021	TAP42	589	0.023%
1022	Tub	589	0.023%
1023	GMC_oxred_C	588	0.023%
1024	E1_dh	588	0.023%
1025	AAA_2	588	0.023%
1026	RelA_SpoT	587	0.023%
1027	Rad17	587	0.023%
1028	RF-1	586	0.023%
1029	Glyco_hydro_15	586	0.023%
1030	Peptidase_C65	585	0.023%
1031	SAPS	585	0.023%
1032	Ndc80_HEC	584	0.022%
1033	Peptidase_C2	584	0.022%
1034	Indigoidine_A	583	0.022%
1035	SH3BP5	581	0.022%
1036	LPG_synthase_TM	580	0.022%
1037	Flavin_Reduct	580	0.022%
1038	LpxB	579	0.022%
1039	GCS2	579	0.022%
1040	PMT_2	577	0.022%
1041	ANAPC4_WD40	577	0.022%
1042	Med17	577	0.022%
1043	Usher	577	0.022%
1044	PCMT	576	0.022%
1045	Peptidase_C39_2	576	0.022%
1046	DHDPS	576	0.022%
1047	ANAPC4	576	0.022%
1048	Glyco_transf_17	576	0.022%
1049	PCRF	575	0.022%
1050	PUF	575	0.022%
1051	Vinculin	575	0.022%
1052	Nup88	575	0.022%
1053	Noc2	574	0.022%
1054	Ricin_B_lectin	574	0.022%
1055	dCMP_cyt_deam_1	573	0.022%
1056	tRNA-synt_1b	573	0.022%
1057	Methyltrans_RNA	572	0.022%
1058	ATP-synt_ab	572	0.022%
1059	EIIA-man	571	0.022%
1060	Pex24p	569	0.022%
1061	CGI-121	568	0.022%
1062	Interferon	568	0.022%
1063	CLP_protease	568	0.022%
1064	Bac_transf	567	0.022%
1065	GST_C_2	566	0.022%
1066	Isochorismatase	564	0.022%
1067	Methyltransf_4	563	0.022%
1068	Thioredoxin_4	563	0.022%
1069	Sacchrp_dh_NADP	563	0.022%
1070	SH3_1	562	0.022%
1071	5-FTHF_cyc-lig	562	0.022%
1072	SWIM	560	0.022%
1073	DUF724	560	0.022%
1074	Clat_adaptor_s	559	0.022%
1075	Fringe	558	0.021%
1076	DUF4515	558	0.021%
1077	YqeY	557	0.021%
1078	UBX	557	0.021%
1079	AMPK1_CBM	556	0.021%
1080	MtN3_slv	556	0.021%
1081	Ribonuc_P_40	555	0.021%
1082	CobD_Cbib	555	0.021%
1083	Pribosyltran	554	0.021%
1084	ArfGap	554	0.021%
1085	IML1	553	0.021%
1086	DDRGK	553	0.021%
1087	MOSC	552	0.021%
1088	HMA	550	0.021%
1089	CwfJ_C_2	550	0.021%
1090	DAHP_synth_2	550	0.021%
1091	GDE_C	550	0.021%
1092	Sec7_N	549	0.021%
1093	Pet127	549	0.021%
1094	N6_N4_Mtase	548	0.021%
1095	DUF1298	548	0.021%
1096	Vps5	548	0.021%
1097	MOSC_N	547	0.021%
1098	vATP-synt_E	547	0.021%
1099	ALIX_LYPXL_bnd	547	0.021%
1100	Peptidase_M41	546	0.021%
1101	Glyco_transf_5	545	0.021%
1102	SH2	545	0.021%
1103	MerR_1	544	0.021%
1104	Ferrochelatase	544	0.021%
1105	Cupin_4	543	0.021%
1106	RNA_pol_Rpb2_2	542	0.021%
1107	Recombinase	541	0.021%
1108	Sigma70_r3	541	0.021%
1109	FBA_3	541	0.021%
1110	Glyco_transf_25	540	0.021%
1111	SLC35F	540	0.021%
1112	Ferritin	538	0.021%
1113	Frtz	538	0.021%
1114	Q_salvage	538	0.021%
1115	Band_7	535	0.021%
1116	IBN_N	534	0.021%
1117	Rieske	534	0.021%
1118	BCIP	532	0.020%
1119	Sec23_helical	532	0.020%
1120	M20_dimer	532	0.020%
1121	HHH_3	532	0.020%
1122	DUF2207	532	0.020%
1123	C2-set_2	532	0.020%
1124	YCII	531	0.020%
1125	MCM3AP_GANP	531	0.020%
1126	Sec6	531	0.020%
1127	ApbA	529	0.020%
1128	RUN	529	0.020%
1129	MAD	529	0.020%
1130	Brix	528	0.020%
1131	NARP1	528	0.020%
1132	AbiEii	528	0.020%
1133	TGFb_propeptide	528	0.020%
1134	WAK_assoc	528	0.020%
1135	Thioesterase	527	0.020%
1136	LytR_cpsA_psr	527	0.020%
1137	Ribosomal_S2	525	0.020%
1138	GTP1_OBG	525	0.020%
1139	Anticodon_1	524	0.020%
1140	DUF3632	524	0.020%
1141	DBI_PRT	524	0.020%
1142	DUF859	523	0.020%
1143	Hydantoinase_B	523	0.020%
1144	PI3Ka	523	0.020%
1145	7TM_GPCR_Srw	523	0.020%
1146	CENP-K	523	0.020%
1147	AAA_18	522	0.020%
1148	Cor1	522	0.020%
1149	DUF4349	522	0.020%
1150	Pantoate_transf	522	0.020%
1151	Ku	522	0.020%
1152	CATSPERB	520	0.020%
1153	Peptidase_S49	519	0.020%
1154	USP7_ICP0_bdg	519	0.020%
1155	CitMHS	519	0.020%
1156	PTPLA	519	0.020%
1157	ArsP_1	519	0.020%
1158	NTP_transf_3	518	0.020%
1159	Putative_PNPOx	517	0.020%
1160	INTS2	517	0.020%
1161	RNA_pol_Rpb1_2	516	0.020%
1162	MCM_N	515	0.020%
1163	DUF5011	515	0.020%
1164	TMF_TATA_bd	514	0.020%
1165	EDR1	514	0.020%
1166	Amidase_2	513	0.020%
1167	MCM_OB	513	0.020%
1168	HpcH_HpaI	512	0.020%
1169	SOUL	511	0.020%
1170	DEAD_2	511	0.020%
1171	PP2	511	0.020%
1172	Glyoxal_oxid_N	511	0.020%
1173	NDC10_II	511	0.020%
1174	TMP-TENI	510	0.020%
1175	Ribosomal_L1	510	0.020%
1176	Tyr-DNA_phospho	510	0.020%
1177	HemolysinCabind	508	0.020%
1178	RNase_PH_C	508	0.020%
1179	GGACT	508	0.020%
1180	ArgoN	508	0.020%
1181	EFG_C	508	0.020%
1182	RTC	508	0.020%
1183	GT87	508	0.020%
1184	XPG_I	507	0.020%
1185	DUF383	506	0.019%
1186	DHR-2	506	0.019%
1187	ABC_membrane_2	506	0.019%
1188	ACOX	505	0.019%
1189	BcsB	505	0.019%
1190	ORC5_C	504	0.019%
1191	CSN8_PSD8_EIF3K	503	0.019%
1192	DUF45	503	0.019%
1193	Cytochrome_CBB3	502	0.019%
1194	zf-C3HC4_2	502	0.019%
1195	DDE_Tnp_IS66	502	0.019%
1196	RA	502	0.019%
1197	ELMO_CED12	502	0.019%
1198	Hpt	501	0.019%
1199	ABC2_membrane_2	501	0.019%
1200	LIDHydrolase	501	0.019%
1201	V1R	501	0.019%
1202	DUF11	500	0.019%
1203	Far-17a_AIG1	500	0.019%
1204	SGT1	500	0.019%
1205	Methyltransf_19	499	0.019%
1206	Coprogen_oxidas	499	0.019%
1207	PDDEXK_4	499	0.019%
1208	AAA_8	499	0.019%
1209	WYL	499	0.019%
1210	PTS_EIIA_1	496	0.019%
1211	PDZ_2	496	0.019%
1212	DDHD	496	0.019%
1213	UCH_1	496	0.019%
1214	Na_K-ATPase	496	0.019%
1215	DAP_epimerase	496	0.019%
1216	META	495	0.019%
1217	Ribosomal_L21e	495	0.019%
1218	Med20	493	0.019%
1219	Med12-LCEWAV	493	0.019%
1220	O-FucT	492	0.019%
1221	DUF1295	491	0.019%
1222	SRF-TF	491	0.019%
1223	TFIIB	490	0.019%
1224	CS	490	0.019%
1225	RNA_pol_L	489	0.019%
1226	HORMA	489	0.019%
1227	PA26	489	0.019%
1228	MoeA_N	488	0.019%
1229	WES_acyltransf	487	0.019%
1230	EMP24_GP25L	487	0.019%
1231	SLC12	486	0.019%
1232	SBP_bac_11	486	0.019%
1233	Amidase_3	484	0.019%
1234	Peptidase_M78	484	0.019%
1235	DAGK_acc	483	0.019%
1236	LEA_2	483	0.019%
1237	Acyl-CoA_dh_M	482	0.019%
1238	tRNA-synt_1d	482	0.019%
1239	Thioredoxin_8	482	0.019%
1240	Foie-gras_1	482	0.019%
1241	IQ	482	0.019%
1242	PG_binding_1	481	0.019%
1243	RIC1	481	0.019%
1244	Creatininase	481	0.019%
1245	Creatinase_N_2	480	0.018%
1246	IMS_C	480	0.018%
1247	TIC20	480	0.018%
1248	Mut7-C	480	0.018%
1249	Ku_N	480	0.018%
1250	TFR_dimer	480	0.018%
1251	dsrm	480	0.018%
1252	GLE1	480	0.018%
1253	Methyltransf_5	479	0.018%
1254	DNA_primase_S	479	0.018%
1255	Nucleopor_Nup85	479	0.018%
1256	DUF3176	478	0.018%
1257	Nt_Gln_amidase	478	0.018%
1258	LBP_BPI_CETP	478	0.018%
1259	TTKRSYEDQ	477	0.018%
1260	SNARE_assoc	476	0.018%
1261	HMGL-like	476	0.018%
1262	HlyD_3	476	0.018%
1263	PASTA	475	0.018%
1264	Fil_haemagg	475	0.018%
1265	FG-GAP_2	474	0.018%
1266	FtsZ_C	474	0.018%
1267	MarR_2	473	0.018%
1268	Bac_export_2	473	0.018%
1269	Filamin	473	0.018%
1270	DUF4228	473	0.018%
1271	HTH_6	472	0.018%
1272	Grp1_Fun34_YaaH	472	0.018%
1273	Prenyltransf	472	0.018%
1274	CD20	471	0.018%
1275	Transcrip_reg	471	0.018%
1276	UPF0014	471	0.018%
1277	ApbA_C	469	0.018%
1278	Neprosin_AP	469	0.018%
1279	N_methyl	468	0.018%
1280	Secretin	468	0.018%
1281	SLT	468	0.018%
1282	CO_deh_flav_C	468	0.018%
1283	Trp_syntA	468	0.018%
1284	G6PD_N	467	0.018%
1285	FSA_C	467	0.018%
1286	Mur_ligase_C	466	0.018%
1287	PTEN_C2	466	0.018%
1288	Bac_export_1	466	0.018%
1289	Rtf2	466	0.018%
1290	SufE	465	0.018%
1291	Y_phosphatase3	465	0.018%
1292	LrgB	465	0.018%
1293	CoA_trans	465	0.018%
1294	FAD-oxidase_C	464	0.018%
1295	PE	464	0.018%
1296	Ssl1	462	0.018%
1297	RtcB	462	0.018%
1298	G-patch	461	0.018%
1299	Laminin_B	461	0.018%
1300	ERCC4	461	0.018%
1301	Bgal_small_N	460	0.018%
1302	DUF594	460	0.018%
1303	DUF2505	460	0.018%
1304	Peptidase_U32	459	0.018%
1305	PGM_PMM_I	459	0.018%
1306	Ig_2	459	0.018%
1307	DNA_ligase_A_C	458	0.018%
1308	Methyltransf_24	458	0.018%
1309	MCD	458	0.018%
1310	Sipho_tail	458	0.018%
1311	SMC_hinge	457	0.018%
1312	Kinetochor_Ybp2	457	0.018%
1313	zf-RVT	457	0.018%
1314	IFT57	456	0.018%
1315	Yip1	456	0.018%
1316	RNase_Zc3h12a	456	0.018%
1317	Glyco_transf_6	456	0.018%
1318	Kringle	455	0.018%
1319	UPF0121	455	0.018%
1320	TIR	455	0.018%
1321	AATase	455	0.018%
1322	DPBB_1	455	0.018%
1323	HTH_30	454	0.017%
1324	Cas_GSU0054	454	0.017%
1325	PolyA_pol	453	0.017%
1326	Helicase_C_2	453	0.017%
1327	CTP_transf_3	452	0.017%
1328	ATP-grasp_4	452	0.017%
1329	UPF0236	451	0.017%
1330	THOC2_N	451	0.017%
1331	GpcrRhopsn4	451	0.017%
1332	Helitron_like_N	451	0.017%
1333	Rib_hydrolayse	451	0.017%
1334	Serinc	450	0.017%
1335	Glyco_transf_34	450	0.017%
1336	Ribosomal_S6e	450	0.017%
1337	DDE_Tnp_1	449	0.017%
1338	CASP_C	448	0.017%
1339	Acetate_kinase	447	0.017%
1340	Cyclase	447	0.017%
1341	zf-C4	447	0.017%
1342	LOB	447	0.017%
1343	Chromo	446	0.017%
1344	DcpS_C	446	0.017%
1345	Furin-like	446	0.017%
1346	DUF2431	446	0.017%
1347	SNase	445	0.017%
1348	OSCP	445	0.017%
1349	TMEM214	445	0.017%
1350	Vps39_2	444	0.017%
1351	RNA_pol_Rpb1_3	443	0.017%
1352	Glyco_transf_20	443	0.017%
1353	SGL	441	0.017%
1354	PITH	441	0.017%
1355	TPP_enzyme_C	440	0.017%
1356	CRCB	439	0.017%
1357	Retrotrans_gag	439	0.017%
1358	PYRIN	438	0.017%
1359	Archease	437	0.017%
1360	12TM_1	437	0.017%
1361	zf-CCHC_4	437	0.017%
1362	ABC_ATPase	436	0.017%
1363	EI24	435	0.017%
1364	HxlR	434	0.017%
1365	LOR	433	0.017%
1366	Sec23_BS	433	0.017%
1367	Ribosomal_L26	432	0.017%
1368	HATPase_c_3	432	0.017%
1369	Toprim_C_rpt	431	0.017%
1370	SURF1	431	0.017%
1371	SBP_bac_6	431	0.017%
1372	6PF2K	431	0.017%
1373	Exo_endo_phos_2	431	0.017%
1374	Transp_cyt_pur	430	0.017%
1375	Phospholip_B	430	0.017%
1376	UTP15_C	429	0.017%
1377	DHquinase_I	429	0.017%
1378	Glyco_transf_7N	428	0.016%
1379	DUF2461	428	0.016%
1380	tRNA_U5-meth_tr	427	0.016%
1381	SLS	427	0.016%
1382	His_biosynth	426	0.016%
1383	CBM_6	426	0.016%
1384	DUF410	426	0.016%
1385	MmgE_PrpD	426	0.016%
1386	Neisseria_PilC	426	0.016%
1387	GPDPase_memb	426	0.016%
1388	MAPEG	426	0.016%
1389	Ald_Xan_dh_C	425	0.016%
1390	CCDC142	425	0.016%
1391	Gcd10p	425	0.016%
1392	Fam20C	425	0.016%
1393	Phage_prot_Gp6	424	0.016%
1394	CbiA	424	0.016%
1395	BRCT_2	424	0.016%
1396	KTI12	424	0.016%
1397	CRT10	424	0.016%
1398	DNA_pol3_alpha	424	0.016%
1399	Cupin_2	423	0.016%
1400	RSN1_TM	423	0.016%
1401	DUF92	423	0.016%
1402	ArAE_2	423	0.016%
1403	Pep_deformylase	422	0.016%
1404	RQC	421	0.016%
1405	STT3	421	0.016%
1406	HEM4	420	0.016%
1407	CAS_CSE1	420	0.016%
1408	ChaC	420	0.016%
1409	DUF295	419	0.016%
1410	MR_MLE_C	418	0.016%
1411	COX2	418	0.016%
1412	MFAP1	418	0.016%
1413	DM13	418	0.016%
1414	Ribonuclease_T2	417	0.016%
1415	Formyl_trans_N	416	0.016%
1416	DUF815	416	0.016%
1417	DUF1524	415	0.016%
1418	Mit_KHE1	415	0.016%
1419	TruD	415	0.016%
1420	Biotin_carb_C	414	0.016%
1421	Glyco_trans_2_3	414	0.016%
1422	CCB2_CCB4	414	0.016%
1423	DYW_deaminase	414	0.016%
1424	Adenylsucc_synt	414	0.016%
1425	DNA_alkylation	414	0.016%
1426	CENP-I	414	0.016%
1427	DENN	413	0.016%
1428	Lon_C	413	0.016%
1429	SusD-like_2	413	0.016%
1430	ParBc	412	0.016%
1431	Acyltransf_C	412	0.016%
1432	eIF2A	412	0.016%
1433	ThylakoidFormat	412	0.016%
1434	EFG_IV	412	0.016%
1435	MGAT2	412	0.016%
1436	TPR_1	411	0.016%
1437	Tfb4	411	0.016%
1438	G6PD_C	411	0.016%
1439	DUF1688	411	0.016%
1440	DUF4139	411	0.016%
1441	LacI	409	0.016%
1442	TetR_C	408	0.016%
1443	Synapsin_C	408	0.016%
1444	Glyco_hydro_14	407	0.016%
1445	TGF_beta	406	0.016%
1446	POP1	406	0.016%
1447	VWA_2	404	0.016%
1448	Glu_cyclase_2	404	0.016%
1449	YceI	404	0.016%
1450	ThrE	404	0.016%
1451	Sortase	403	0.016%
1452	MTS	403	0.016%
1453	Cu_bind_like	403	0.016%
1454	Crystall	403	0.016%
1455	Vps54_N	403	0.016%
1456	MacB_PCD	402	0.015%
1457	AD	402	0.015%
1458	SHS2_Rpb7-N	402	0.015%
1459	Globin	401	0.015%
1460	RIO1	401	0.015%
1461	BK_channel_a	401	0.015%
1462	Hexokinase_1	401	0.015%
1463	Tic22	400	0.015%
1464	CbiX	400	0.015%
1465	TbpB_B_D	400	0.015%
1466	DEDD_Tnp_IS110	399	0.015%
1467	Tmemb_cc2	399	0.015%
1468	CHASE3	399	0.015%
1469	DDOST_48kD	399	0.015%
1470	ARS2	399	0.015%
1471	DNA_pol_B_2	399	0.015%
1472	Zona_pellucida	398	0.015%
1473	PHO4	398	0.015%
1474	Sld5	398	0.015%
1475	Cytochrom_B561	398	0.015%
1476	Glyco_hydro_2_N	398	0.015%
1477	IBR	398	0.015%
1478	MRJP	397	0.015%
1479	OB_NTP_bind	397	0.015%
1480	AFG1_ATPase	396	0.015%
1481	KAP_NTPase	396	0.015%
1482	BBE	396	0.015%
1483	ART	396	0.015%
1484	FAM178	396	0.015%
1485	TBP	395	0.015%
1486	GFO_IDH_MocA_C	395	0.015%
1487	SMG1	395	0.015%
1488	DUF676	395	0.015%
1489	Methyltransf_22	395	0.015%
1490	Det1	395	0.015%
1491	B3_4	394	0.015%
1492	Peptidase_C1_2	394	0.015%
1493	tRNA-synt_1g	394	0.015%
1494	DUF608	394	0.015%
1495	VWA_3	394	0.015%
1496	Mpv17_PMP22	393	0.015%
1497	FAM184	393	0.015%
1498	Peptidase_A24	393	0.015%
1499	Ribul_P_3_epim	393	0.015%
1500	Na_Pi_cotrans	393	0.015%
1501	Alpha-mann_mid	392	0.015%
1502	DoxX	392	0.015%
1503	Inhibitor_I9	392	0.015%
1504	ATP_bind_3	392	0.015%
1505	Zw10	392	0.015%
1506	DUF808	391	0.015%
1507	Trp_Tyr_perm	391	0.015%
1508	NusB	391	0.015%
1509	Lung_7-TM_R	391	0.015%
1510	APG17	391	0.015%
1511	Toluene_X	390	0.015%
1512	PAW	390	0.015%
1513	Fer2_2	389	0.015%
1514	SIMPL	389	0.015%
1515	PLAC8	389	0.015%
1516	TENA_THI-4	388	0.015%
1517	GRAS	388	0.015%
1518	TAL_FSA	388	0.015%
1519	Ank_5	387	0.015%
1520	TPP_enzyme_N	387	0.015%
1521	SWIB	387	0.015%
1522	RNase_HII	387	0.015%
1523	PIN_4	387	0.015%
1524	CBM_1	387	0.015%
1525	GDC-P	387	0.015%
1526	DUF805	386	0.015%
1527	Hydrolase_3	386	0.015%
1528	Ribosomal_S19	386	0.015%
1529	DCB	386	0.015%
1530	DIE2_ALG10	386	0.015%
1531	AAA_22	386	0.015%
1532	Presenilin	385	0.015%
1533	DUF1744	385	0.015%
1534	RRF	385	0.015%
1535	RRP36	385	0.015%
1536	XPG_N	385	0.015%
1537	N1221	385	0.015%
1538	Glyco_transf_8	385	0.015%
1539	Utp12	384	0.015%
1540	DUF3494	384	0.015%
1541	AAT	383	0.015%
1542	NUP214	383	0.015%
1543	MIF4G	382	0.015%
1544	NDK	381	0.015%
1545	NUDIX_2	381	0.015%
1546	DTW	381	0.015%
1547	Glyco_hydro_71	381	0.015%
1548	Sin3a_C	380	0.015%
1549	FCH	380	0.015%
1550	RNA_pol_Rpb1_R	379	0.015%
1551	SusD-like	379	0.015%
1552	VCBS	379	0.015%
1553	OHCU_decarbox	379	0.015%
1554	Ins134_P3_kin	378	0.015%
1555	HMG-CoA_red	377	0.015%
1556	Drf_FH3	377	0.015%
1557	DctQ	377	0.015%
1558	UreD	377	0.015%
1559	ATG22	377	0.015%
1560	DUF1887	376	0.014%
1561	Peptidase_C13	375	0.014%
1562	Steroid_dh	375	0.014%
1563	Drf_GBD	375	0.014%
1564	ATP11	375	0.014%
1565	YadA_head	375	0.014%
1566	TnsD	375	0.014%
1567	Pentaxin	375	0.014%
1568	Amidinotransf	375	0.014%
1569	COX15-CtaA	374	0.014%
1570	MAM33	374	0.014%
1571	SecA_DEAD	374	0.014%
1572	BCS1_N	374	0.014%
1573	NO_synthase	373	0.014%
1574	PRAI	372	0.014%
1575	Med14	372	0.014%
1576	CHASE2	372	0.014%
1577	PAS	371	0.014%
1578	Ketoacyl-synt_C	371	0.014%
1579	PrpF	371	0.014%
1580	Methyltransf_PK	370	0.014%
1581	OPA3	370	0.014%
1582	OMP_b-brl	369	0.014%
1583	Cyto_heme_lyase	369	0.014%
1584	RNA_pol_I_A49	369	0.014%
1585	NLPC_P60	368	0.014%
1586	Carbam_trans_N	368	0.014%
1587	DUF4291	368	0.014%
1588	Thymidylate_kin	368	0.014%
1589	DNA_ligase_aden	367	0.014%
1590	ERO1	367	0.014%
1591	Glyco_hydro_53	367	0.014%
1592	ABATE	366	0.014%
1593	PWWP	366	0.014%
1594	DUF2142	366	0.014%
1595	SNARE	365	0.014%
1596	Fapy_DNA_glyco	365	0.014%
1597	MutS_IV	365	0.014%
1598	E1_DerP2_DerF2	364	0.014%
1599	Nucleos_tra2_N	364	0.014%
1600	Pep_M12B_propep	363	0.014%
1601	NAD_binding_11	363	0.014%
1602	Cons_hypoth95	363	0.014%
1603	GCD14	363	0.014%
1604	DDE_Tnp_ISL3	362	0.014%
1605	UMPH-1	362	0.014%
1606	Hexapep	361	0.014%
1607	Ribophorin_I	361	0.014%
1608	UEV	361	0.014%
1609	TRP	361	0.014%
1610	zf-UBP	360	0.014%
1611	NatB_MDM20	360	0.014%
1612	FIBP	360	0.014%
1613	DUF3068	360	0.014%
1614	Sigma70_r4	359	0.014%
1615	Queuosine_synth	359	0.014%
1616	HTH_Tnp_Tc3_2	359	0.014%
1617	Glycos_transf_N	358	0.014%
1618	Arfaptin	357	0.014%
1619	HTH_Tnp_1	356	0.014%
