Semantic Description Frequency Analysis
==================================================

Files processed: 27,866
Files with semantic_description: 16,110
Total semantic_description instances: 94,046
Unique semantic_description types: 9,126

Complete frequency list (sorted by frequency):
Rank	Term	Frequency	Percentage
2230	crista	4	0.004%
2231	architecture	4	0.004%
2232	partial	4	0.004%
2233	XRN	4	0.004%
2234	NSF	4	0.004%
2235	Fucosyltransferase	4	0.004%
2236	TORC1	4	0.004%
2237	Nose	4	0.004%
2238	resistant	4	0.004%
2239	metalloaminopeptidase	4	0.004%
2240	acidifying	4	0.004%
2241	identity	4	0.004%
2242	downstream	4	0.004%
2243	specification	4	0.004%
2244	BRCA1	4	0.004%
2245	Dicer	4	0.004%
2246	Bacteriophage	4	0.004%
2247	collar	4	0.004%
2248	glycero	4	0.004%
2249	oxidoreductases	4	0.004%
2250	phosphosulfate	4	0.004%
2251	cyclization	4	0.004%
2252	adenylation	4	0.004%
2253	nicotinate	4	0.004%
2254	mononucleotide	4	0.004%
2255	PQQ	4	0.004%
2256	periplasm	4	0.004%
2257	multichain	4	0.004%
2258	decarboxylation	4	0.004%
2259	uroporphyrinogen	4	0.004%
2260	Dehydrogenases	4	0.004%
2261	PRFAR	4	0.004%
2262	IGP	4	0.004%
2263	AICAR	4	0.004%
2264	compounds	4	0.004%
2265	glyceromanno	4	0.004%
2266	COG1670	4	0.004%
2267	acetylases	4	0.004%
2268	predominantly	4	0.004%
2269	pantoate	4	0.004%
2270	pantoyl	4	0.004%
2271	Nucleotidyl	4	0.004%
2272	diamino	4	0.004%
2273	3h	4	0.004%
2274	dna	4	0.004%
2275	Low	4	0.004%
2276	erythritol	4	0.004%
2277	driven	4	0.004%
2278	nonribosomal	4	0.004%
2279	1402	4	0.004%
2280	C1402	4	0.004%
2281	partitioning	4	0.004%
2282	assembled	4	0.004%
2283	Mannosyl	4	0.004%
2284	aggregation	4	0.004%
2285	lipoproteins	4	0.004%
2286	Metallo	4	0.004%
2287	ROK	4	0.004%
2288	2A	4	0.004%
2289	Cadherin	4	0.004%
2290	direction	4	0.004%
2291	Melanoma	4	0.004%
2292	Bidirectionally	4	0.004%
2293	insoluble	4	0.004%
2294	organism	4	0.004%
2295	cyclotransferase	4	0.004%
2296	AlgR	4	0.004%
2297	epoxyqueuosine	4	0.004%
2298	oQ	4	0.004%
2299	spore	4	0.004%
2300	IIA	4	0.004%
2301	glycosyltransferases	4	0.004%
2302	LytTr	4	0.004%
2303	Cellobiose	4	0.004%
2304	adhesin	4	0.004%
2305	MUTS	4	0.004%
2306	testis	4	0.004%
2307	PX	4	0.004%
2308	NACHT	4	0.004%
2309	trisphosphate	4	0.004%
2310	messenger	4	0.004%
2311	regulate	4	0.004%
2312	induces	4	0.004%
2313	provides	4	0.004%
2314	serpin	4	0.004%
2315	Lin	4	0.004%
2316	folded	4	0.004%
2317	mediating	4	0.004%
2318	misfolded	4	0.004%
2319	feature	4	0.004%
2320	previously	4	0.004%
2321	reported	4	0.004%
2322	Band	4	0.004%
2323	hexapeptide	4	0.004%
2324	six	4	0.004%
2325	UMP	4	0.004%
2326	controls	4	0.004%
2327	Polyketide	4	0.004%
2328	PucR	4	0.004%
2329	oxidases	4	0.004%
2330	involves	4	0.004%
2331	DoxX	4	0.004%
2332	M20	4	0.004%
2333	globin	4	0.004%
2334	Exhibits	4	0.004%
2335	PIN	4	0.004%
2336	bleomycin	4	0.004%
2337	Alcohol	4	0.004%
2338	Yqey	4	0.004%
2339	MsrPQ	4	0.004%
2340	mechanisms	4	0.004%
2341	being	4	0.004%
2342	able	4	0.004%
2343	concentration	4	0.004%
2344	Activator	4	0.004%
2345	Nudix	4	0.004%
2346	Capsule	4	0.004%
2347	sialidase	4	0.004%
2348	F420	4	0.004%
2349	sequences	4	0.004%
2350	Requires	4	0.004%
2351	sequestering	4	0.004%
2352	TGFbeta	4	0.004%
2353	general	4	0.004%
2354	tetratricopeptide	4	0.004%
2355	S9	4	0.004%
2356	COGs	4	0.004%
2357	could	4	0.004%
2358	ligands	4	0.004%
2359	acylation	4	0.004%
2360	seryl	4	0.004%
2361	Pentapeptide	4	0.004%
2362	COG3712	4	0.004%
2363	phosphoryl	4	0.004%
2364	toxic	4	0.004%
2365	intermediates	4	0.004%
2366	Integrin	4	0.004%
2367	cyclodeaminase	4	0.004%
2368	FecCD	4	0.004%
2369	B12	4	0.004%
2370	f	4	0.004%
2371	photosystem	4	0.004%
2372	Maltose	4	0.004%
2373	TMM	4	0.004%
2374	Hypothetical	4	0.004%
2375	dihydrouridine	4	0.004%
2376	exponential	4	0.004%
2377	tyrosyl	4	0.004%
2378	formate	4	0.004%
2379	thylakoid	4	0.004%
2380	Alternative	4	0.004%
2381	Melibiase	4	0.004%
2382	TFIIH	4	0.004%
2383	PMP22	4	0.004%
2384	ppGpp	4	0.004%
2385	DUF547	4	0.004%
2386	exporting	4	0.004%
2387	unc	4	0.004%
2388	isopropylmalate	4	0.004%
2389	ligases	4	0.004%
2390	sorbosone	4	0.004%
2391	IIH	4	0.004%
2392	Fatty	4	0.004%
2393	cyclosome	4	0.004%
2394	galactosyl	4	0.004%
2395	reversibly	4	0.004%
2396	tagged	4	0.004%
2397	Nucleotide	4	0.004%
2398	nutrient	4	0.004%
2399	Heat	4	0.004%
2400	U4	4	0.004%
2401	Couples	4	0.004%
2402	turnover	4	0.004%
2403	ASPIC	4	0.004%
2404	UnbV	4	0.004%
2405	Long	4	0.004%
2406	sulfurtransferase	4	0.004%
2407	signalosome	4	0.004%
2408	Sas10	4	0.004%
2409	Utp3	4	0.004%
2410	C1D	4	0.004%
2411	N2	4	0.004%
2412	Polynucleotide	4	0.004%
2413	NTP	4	0.004%
2414	codon	4	0.004%
2415	galactose	4	0.004%
2416	translocating	4	0.004%
2417	nickel	4	0.004%
2418	Releases	4	0.004%
2419	supercoiling	4	0.004%
2420	passage	4	0.004%
2421	removing	4	0.004%
2422	backbone	4	0.004%
2423	Formamidopyrimidine	4	0.004%
2424	2B	4	0.004%
2425	ALG6	4	0.004%
2426	ALG8	4	0.004%
2427	Clp	4	0.004%
2428	topological	4	0.004%
2429	dsDNA	4	0.004%
2430	Ubiquinone	4	0.004%
2431	Rieske	4	0.004%
2432	Yip1	4	0.004%
2433	glutaminyl	4	0.004%
2434	co	4	0.004%
2435	RsmB	4	0.004%
2436	47	4	0.004%
2437	dimethylaniline	4	0.004%
2438	efficiency	4	0.004%
2439	MULE	4	0.004%
2440	RIBOSOMAL	4	0.004%
2441	hydrate	4	0.004%
2442	Peptidyl	4	0.004%
2443	Pant	4	0.004%
2444	PLP	4	0.004%
2445	folate	4	0.004%
2446	c1	4	0.004%
2447	asparaginyl	4	0.004%
2448	Collagen	4	0.004%
2449	glycoside	4	0.004%
2450	Tre	4	0.004%
2451	BUB2p	4	0.004%
2452	Cdc16p	4	0.004%
2453	GAPs	4	0.004%
2454	Arg	4	0.004%
2455	entry	4	0.004%
2456	34	4	0.004%
2457	PCI	4	0.004%
2458	due	4	0.004%
2459	FGGY	4	0.004%
2460	decanoate	4	0.004%
2461	Calmodulin	4	0.004%
2462	Elongation	4	0.004%
2463	syntaxin	4	0.004%
2464	TOR	4	0.004%
2465	Sec24	4	0.004%
2466	Forkhead	4	0.004%
2467	Pol	4	0.004%
2468	1C	4	0.004%
2469	They	4	0.004%
2470	agatoxin	4	0.004%
2471	IIIA	4	0.004%
2472	Aga	4	0.004%
2473	GVIA	4	0.004%
2474	results	4	0.004%
2475	AdoMet	4	0.004%
2476	xylose	4	0.004%
2477	MATE	4	0.004%
2478	Sterile	4	0.004%
2479	GGPP	4	0.004%
2480	tonB	4	0.004%
2481	removes	4	0.004%
2482	Tf2	4	0.004%
2483	shikimic	4	0.004%
2484	VLCFAs	4	0.004%
2485	per	4	0.004%
2486	known	4	0.004%
2487	fumarate	4	0.004%
2488	Apoptosis	4	0.004%
2489	Elongator	4	0.004%
2490	consist	4	0.004%
2491	extramembraneous	4	0.004%
2492	Displays	4	0.004%
2493	Transferase	4	0.004%
2494	Tubulin	4	0.004%
2495	cosubstrate	4	0.004%
2496	thioester	4	0.004%
2497	Diacylglycerol	4	0.004%
2498	xanthine	4	0.004%
2499	atom	4	0.004%
2500	carboxy	4	0.004%
2501	oligopeptide	4	0.004%
2502	allow	4	0.004%
2503	Secreted	4	0.004%
2504	Asparagine	4	0.004%
2505	switch	4	0.004%
2506	exopolysaccharide	4	0.004%
2507	RND	4	0.004%
2508	Nuclease	4	0.004%
2509	BMP	4	0.004%
2510	Nitrilase	4	0.004%
2511	superoxide	4	0.004%
2512	typical	4	0.004%
2513	subtype	4	0.004%
2514	repeated	4	0.004%
2515	contexts	4	0.004%
2516	Carrier	4	0.004%
2517	size	4	0.004%
2518	fragment	4	0.004%
2519	77	4	0.004%
2520	C14A	4	0.004%
2521	Caspase	4	0.004%
2522	arrest	4	0.004%
2523	no	4	0.004%
2524	ac4C	4	0.004%
2525	monocarboxylate	4	0.004%
2526	Mucin	4	0.004%
2527	PAN	4	0.004%
2528	MSP	4	0.004%
2529	Bleomycin	4	0.004%
2530	ray	4	0.004%
2531	45	4	0.004%
2532	smoothened	4	0.004%
2533	establishment	4	0.004%
2534	detection	4	0.004%
2535	mechanical	4	0.004%
2536	aromatase	4	0.004%
2537	SMAD	4	0.004%
2538	chromosomal	4	0.004%
2539	chitinase	4	0.004%
2540	deadenylation	4	0.004%
2541	NOT	4	0.004%
2542	metanephric	4	0.004%
2543	collecting	4	0.004%
2544	Neuronal	4	0.004%
2545	Zyg	4	0.004%
2546	DUF3808	4	0.004%
2547	endothelial	4	0.004%
2548	Coenzyme	4	0.004%
2549	meiosis	4	0.004%
2550	Tudor	4	0.004%
2551	glial	4	0.004%
2552	lysosome	4	0.004%
2553	GRIP	4	0.004%
2554	weak	4	0.004%
2555	PAP2	4	0.004%
2556	Set	4	0.004%
2557	kynurenine	4	0.004%
2558	450	4	0.004%
2559	Golgin	4	0.004%
2560	Patatin	4	0.004%
2561	centrosomal	4	0.004%
2562	trypsin	4	0.004%
2563	genomic	4	0.004%
2564	Auxin	4	0.004%
2565	Radical	4	0.004%
2566	cleaves	4	0.004%
2567	proper	4	0.004%
2568	diaminoheptanedioate	4	0.004%
2569	DAP	4	0.004%
2570	against	4	0.004%
2571	O6	4	0.004%
2572	O4	4	0.004%
2573	RHS	4	0.004%
2574	Pilus	4	0.004%
2575	S24	4	0.004%
2576	characterized	4	0.004%
2577	ComEC	4	0.004%
2578	Rec2	4	0.004%
2579	S16	4	0.004%
2580	mercury	4	0.004%
2581	Snf7	4	0.004%
2582	respiration	4	0.004%
2583	DUF	4	0.004%
2584	659	4	0.004%
2585	pentakisphosphate	4	0.004%
2586	T2	4	0.004%
2587	START	4	0.004%
2588	SUMO	4	0.004%
2589	tripeptidyl	4	0.004%
2590	Ricin	4	0.004%
2591	trefoil	4	0.004%
2592	Matrix	4	0.004%
2593	cleave	4	0.004%
2594	DUF4413	4	0.004%
2595	endosomes	4	0.004%
2596	MYM	4	0.004%
2597	Classical	4	0.004%
2598	Late	4	0.004%
2599	FBD	4	0.004%
2600	b561	4	0.004%
2601	RNI	4	0.004%
2602	arabinogalactan	4	0.004%
2603	High	4	0.004%
2604	plasmid	4	0.004%
2605	ThiF	4	0.004%
2606	Origin	4	0.004%
2607	hydroxybutyrate	4	0.004%
2608	balance	4	0.004%
2609	nucleophile	4	0.004%
2610	insulin	4	0.004%
2611	CRT	4	0.004%
2612	chloroquine	4	0.004%
2613	modifying	4	0.004%
2614	L3	4	0.004%
2615	SAC3	4	0.004%
2616	GANP	4	0.004%
2617	Pasteurellaceae	4	0.004%
2618	lobe	4	0.004%
2619	Cytidine	4	0.004%
2620	otolith	4	0.004%
2621	VAT	4	0.004%
2622	mixed	4	0.004%
2623	lineage	4	0.004%
2624	trithorax	4	0.004%
2625	tetraphosphate	4	0.004%
2626	attenuator	4	0.004%
2627	LPXTG	4	0.004%
2628	RDD	4	0.004%
2629	FReDs	4	0.004%
2630	DUF2505	4	0.004%
2631	phosphatidylserine	4	0.004%
2632	HECT	4	0.004%
2633	oxidizing	4	0.004%
2634	LIM	4	0.004%
2635	WW	4	0.004%
2636	AhpC	4	0.004%
2637	MRG	4	0.004%
2638	glyceraldehyde	4	0.004%
2639	Homeobox	4	0.004%
2640	glucuronosyltransferase	4	0.004%
2641	spliced	4	0.004%
2642	KH	4	0.004%
2643	inhibitory	4	0.004%
2644	Srsx	4	0.004%
2645	symbiont	4	0.004%
2646	secreted	4	0.004%
2647	nitrosylase	4	0.004%
2648	IL	4	0.004%
2649	Multifunctional	4	0.004%
2650	chemokine	4	0.004%
2651	outgrowth	4	0.004%
2652	CD80	4	0.004%
2653	multipass	4	0.004%
2654	Secretory	4	0.004%
2655	isopentenyl	4	0.004%
2656	lysR	4	0.004%
2657	recombinase	4	0.004%
2658	GlnA	4	0.004%
2659	Hep	4	0.004%
2660	Hag	4	0.004%
2661	CD36	4	0.004%
2662	Nup93	4	0.004%
2663	Nic96	4	0.004%
2664	Fn3	4	0.004%
2665	expn	4	0.004%
2666	CTL	4	0.004%
2667	leucin	4	0.004%
2668	jockey	4	0.004%
2669	CST	4	0.004%
2670	same	3	0.003%
2671	Flavodoxin	3	0.003%
2672	Plug	3	0.003%
2673	RsuA	3	0.003%
2674	monophosphates	3	0.003%
2675	portal	3	0.003%
2676	lambda	3	0.003%
2677	Virulence	3	0.003%
2678	Unknown	3	0.003%
2679	Mal	3	0.003%
2680	allergen	3	0.003%
2681	monomers	3	0.003%
2682	transported	3	0.003%
2683	leaking	3	0.003%
2684	distal	3	0.003%
2685	Soluble	3	0.003%
2686	fucose	3	0.003%
2687	fluoxetine	3	0.003%
2688	Pseudouridine	3	0.003%
2689	Trehalose	3	0.003%
2690	stabilizes	3	0.003%
2691	MAPK	3	0.003%
2692	Raf	3	0.003%
2693	rule	3	0.003%
2694	exocyst	3	0.003%
2695	Terminus	3	0.003%
2696	diverse	3	0.003%
2697	represses	3	0.003%
2698	SCO1	3	0.003%
2699	SenC	3	0.003%
2700	186	3	0.003%
2701	DUF3128	3	0.003%
2702	dimethyltransferase	3	0.003%
2703	completion	3	0.003%
2704	AlpA	3	0.003%
2705	methylthioribose	3	0.003%
2706	disaccharide	3	0.003%
2707	bicarbonate	3	0.003%
2708	dephospho	3	0.003%
2709	McrBC	3	0.003%
2710	methylcytosine	3	0.003%
2711	multidrug	3	0.003%
2712	UPF0061	3	0.003%
2713	MotA	3	0.003%
2714	dTTP	3	0.003%
2715	ssDNA	3	0.003%
2716	S3P	3	0.003%
2717	Phosphoadenosine	3	0.003%
2718	undecaprenyl	3	0.003%
2719	Confers	3	0.003%
2720	heptosyltransferase	3	0.003%
2721	NMT1	3	0.003%
2722	Tellurite	3	0.003%
2723	pyrroline	3	0.003%
2724	DHQ	3	0.003%
2725	coproporphyrinogen	3	0.003%
2726	COG1028	3	0.003%
2727	Uroporphyrinogen	3	0.003%
2728	IMP	3	0.003%
2729	isoleucine	3	0.003%
2730	cytidylyltransferase	3	0.003%
2731	oxopentanoate	3	0.003%
2732	phosphoribosyl	3	0.003%
2733	Initiates	3	0.003%
2734	near	3	0.003%
2735	indirectly	3	0.003%
2736	homocysteine	3	0.003%
2737	M24B	3	0.003%
2738	COG0463	3	0.003%
2739	implicated	3	0.003%
2740	MurNAc	3	0.003%
2741	Gram	3	0.003%
2742	pyrimidinone	3	0.003%
2743	MerR	3	0.003%
2744	Extracellular	3	0.003%
2745	isoaspartate	3	0.003%
2746	rearrangement	3	0.003%
2747	xylulose	3	0.003%
2748	muconate	3	0.003%
2749	lactonizing	3	0.003%
2750	retinal	3	0.003%
2751	octulosonic	3	0.003%
2752	N3	3	0.003%
2753	termed	3	0.003%
2754	hyperosmotic	3	0.003%
2755	denatured	3	0.003%
2756	thermosensor	3	0.003%
2757	Unfolded	3	0.003%
2758	initially	3	0.003%
2759	cyclases	3	0.003%
2760	Phosphatases	3	0.003%
2761	m7G46	3	0.003%
2762	current	3	0.003%
2763	revised	3	0.003%
2764	shift	3	0.003%
2765	krueppel	3	0.003%
2766	YagE	3	0.003%
2767	COG1723	3	0.003%
2768	phosphorolysis	3	0.003%
2769	processively	3	0.003%
2770	COG0790	3	0.003%
2771	SEL1	3	0.003%
2772	HI0933	3	0.003%
2773	adenosylmethioninamine	3	0.003%
2774	temperature	3	0.003%
2775	Accessory	3	0.003%
2776	GHKL	3	0.003%
2777	queuosine	3	0.003%
2778	FRG	3	0.003%
2779	TPM	3	0.003%
2780	Mga	3	0.003%
2781	PMT	3	0.003%
2782	ethanolamine	3	0.003%
2783	Mu	3	0.003%
2784	T4	3	0.003%
2785	cellobiosidase	3	0.003%
2786	Lactose	3	0.003%
2787	IIB	3	0.003%
2788	Phosphoenolpyruvate	3	0.003%
2789	pathogenesis	3	0.003%
2790	Staphylococcal	3	0.003%
2791	SGNH	3	0.003%
2792	leads	3	0.003%
2793	AT	3	0.003%
2794	protons	3	0.003%
2795	Prostate	3	0.003%
2796	Synaptonemal	3	0.003%
2797	fiber	3	0.003%
2798	Lipoxygenase	3	0.003%
2799	4E	3	0.003%
2800	M	3	0.003%
2801	abundance	3	0.003%
2802	phagocytosis	3	0.003%
2803	controlling	3	0.003%
2804	integrin	3	0.003%
2805	they	3	0.003%
2806	cadherin	3	0.003%
2807	piRNA	3	0.003%
2808	Fab1	3	0.003%
2809	YOTB	3	0.003%
2810	Vac1	3	0.003%
2811	EEA1	3	0.003%
2812	SAS	3	0.003%
2813	BCL2	3	0.003%
2814	ZNF746	3	0.003%
2815	followed	3	0.003%
2816	Homologs	3	0.003%
2817	uses	3	0.003%
2818	complete	3	0.003%
2819	SecA	3	0.003%
2820	UTP	3	0.003%
2821	while	3	0.003%
2822	Thus	3	0.003%
2823	LemA	3	0.003%
2824	SseB	3	0.003%
2825	DSBA	3	0.003%
2826	Multicopper	3	0.003%
2827	Pyridoxamine	3	0.003%
2828	Vibrio	3	0.003%
2829	Colwellia	3	0.003%
2830	Bradyrhizobium	3	0.003%
2831	Shewanella	3	0.003%
2832	M48	3	0.003%
2833	dismutase	3	0.003%
2834	oxidized	3	0.003%
2835	protects	3	0.003%
2836	reactive	3	0.003%
2837	species	3	0.003%
2838	structurally	3	0.003%
2839	extension	3	0.003%
2840	prokaryotic	3	0.003%
2841	luxR	3	0.003%
2842	aminoglycoside	3	0.003%
2843	dehydrase	3	0.003%
2844	LAO	3	0.003%
2845	AO	3	0.003%
2846	IS116	3	0.003%
2847	IS110	3	0.003%
2848	IS902	3	0.003%
2849	No	3	0.003%
2850	transaminase	3	0.003%
2851	Removes	3	0.003%
2852	broad	3	0.003%
2853	interferon	3	0.003%
2854	decarboxylating	3	0.003%
2855	siRNA	3	0.003%
2856	selenocysteine	3	0.003%
2857	stomach	3	0.003%
2858	scavenger	3	0.003%
2859	atrial	3	0.003%
2860	apical	3	0.003%
2861	Complement	3	0.003%
2862	C1q	3	0.003%
2863	acetylgalactosamine	3	0.003%
2864	RagB	3	0.003%
2865	HxlR	3	0.003%
2866	GPR1	3	0.003%
2867	FUN34	3	0.003%
2868	yaaH	3	0.003%
2869	modules	3	0.003%
2870	Heme	3	0.003%
2871	protect	3	0.003%
2872	peroxide	3	0.003%
2873	prenylation	3	0.003%
2874	uS2	3	0.003%
2875	expense	3	0.003%
2876	insensitive	3	0.003%
2877	acetylneuranimic	3	0.003%
2878	accelerating	3	0.003%
2879	equilibrium	3	0.003%
2880	anomers	3	0.003%
2881	facilitates	3	0.003%
2882	compete	3	0.003%
2883	sucessfully	3	0.003%
2884	amounts	3	0.003%
2885	taken	3	0.003%
2886	solution	3	0.003%
2887	might	3	0.003%
2888	advantageous	3	0.003%
2889	damp	3	0.003%
2890	mu	3	0.003%
2891	dioxide	3	0.003%
2892	GC	3	0.003%
2893	Cyclophilin	3	0.003%
2894	CLD	3	0.003%
2895	PGRS	3	0.003%
2896	bitter	3	0.003%
2897	Notch	3	0.003%
2898	brain	3	0.003%
2899	Carotenoid	3	0.003%
2900	910	3	0.003%
2901	macrophage	3	0.003%
2902	density	3	0.003%
2903	modified	3	0.003%
2904	occurs	3	0.003%
2905	pair	3	0.003%
2906	ribulose	3	0.003%
2907	dihydroxy	3	0.003%
2908	helical	3	0.003%
2909	Cullin	3	0.003%
2910	SKP1	3	0.003%
2911	62	3	0.003%
2912	CSN8	3	0.003%
2913	PSMD8	3	0.003%
2914	EIF3K	3	0.003%
2915	ID	3	0.003%
2916	placenta	3	0.003%
2917	PPR	3	0.003%
2918	Peroxisomal	3	0.003%
2919	coordinates	3	0.003%
2920	Alkylated	3	0.003%
2921	deprivation	3	0.003%
2922	Sulfur	3	0.003%
2923	vitro	3	0.003%
2924	Polymerase	3	0.003%
2925	extrusion	3	0.003%
2926	AN1	3	0.003%
2927	Minichromosome	3	0.003%
2928	Saccharopine	3	0.003%
2929	COG2133	3	0.003%
2930	Drug	3	0.003%
2931	COPII	3	0.003%
2932	GMA12	3	0.003%
2933	MNN10	3	0.003%
2934	SETD3	3	0.003%
2935	Presumably	3	0.003%
2936	regular	3	0.003%
2937	unsubstituted	3	0.003%
2938	desumoylation	3	0.003%
2939	Angel	3	0.003%
2940	endosomal	3	0.003%
2941	FK506	3	0.003%
2942	candidate	3	0.003%
2943	nucleolus	3	0.003%
2944	cyclohydrolase	3	0.003%
2945	enhance	3	0.003%
2946	phosphatidate	3	0.003%
2947	LURP	3	0.003%
2948	phosphoserine	3	0.003%
2949	sucrose	3	0.003%
2950	catalyze	3	0.003%
2951	sn	3	0.003%
2952	Fas	3	0.003%
2953	Macro	3	0.003%
2954	splice	3	0.003%
2955	Peroxisome	3	0.003%
2956	Proposed	3	0.003%
2957	thiosulfate	3	0.003%
2958	COP9	3	0.003%
2959	pyrophosphohydrolases	3	0.003%
2960	cointegrator	3	0.003%
2961	demethylase	3	0.003%
2962	brassinosteroid	3	0.003%
2963	Maf	3	0.003%
2964	Arylsulfatase	3	0.003%
2965	helicases	3	0.003%
2966	CDK5	3	0.003%
2967	insertase	3	0.003%
2968	Reticulum	3	0.003%
2969	Prefoldin	3	0.003%
2970	5S	3	0.003%
2971	torsional	3	0.003%
2972	tension	3	0.003%
2973	introduced	3	0.003%
2974	rejoining	3	0.003%
2975	Introduces	3	0.003%
2976	scissile	3	0.003%
2977	attacked	3	0.003%
2978	phosphotyrosyl	3	0.003%
2979	expulsion	3	0.003%
2980	unbroken	3	0.003%
2981	Finally	3	0.003%
2982	religation	3	0.003%
2983	attacks	3	0.003%
2984	expel	3	0.003%
2985	restore	3	0.003%
2986	peptidylprolyl	3	0.003%
2987	multicopper	3	0.003%
2988	strong	3	0.003%
2989	Phosphoribosyl	3	0.003%
2990	res	3	0.003%
2991	Peptide	3	0.003%
2992	UAA	3	0.003%
2993	occurring	3	0.003%
2994	51	3	0.003%
2995	monovalent	3	0.003%
2996	Chromate	3	0.003%
2997	closed	3	0.003%
2998	Negative	3	0.003%
2999	separation	3	0.003%
3000	H2B	3	0.003%
3001	H4	3	0.003%
3002	necessary	3	0.003%
3003	Arf	3	0.003%
3004	FIST	3	0.003%
3005	organisms	3	0.003%
3006	Zgc	3	0.003%
3007	CBF1	3	0.003%
3008	CIR	3	0.003%
3009	P21	3	0.003%
3010	NOP	3	0.003%
3011	Pumilio	3	0.003%
3012	S41	3	0.003%
3013	DUF1995	3	0.003%
3014	increase	3	0.003%
3015	round	3	0.003%
3016	metallocarboxypeptidase	3	0.003%
3017	Exosome	3	0.003%
3018	interface	3	0.003%
3019	Plasma	3	0.003%
3020	Endoribonuclease	3	0.003%
3021	MVB	3	0.003%
3022	debranching	3	0.003%
3023	xylosyltransferase	3	0.003%
3024	26S	3	0.003%
3025	carbamoyl	3	0.003%
3026	ribulosamine	3	0.003%
3027	Potassium	3	0.003%
3028	therefore	3	0.003%
3029	Fanconi	3	0.003%
3030	saturated	3	0.003%
3031	Nitric	3	0.003%
3032	number	3	0.003%
3033	synthesizes	3	0.003%
3034	primers	3	0.003%
3035	fragments	3	0.003%
3036	thio	3	0.003%
3037	Excises	3	0.003%
3038	arise	3	0.003%
3039	misincorporation	3	0.003%
3040	dUMP	3	0.003%
3041	245	3	0.003%
3042	cwf18	3	0.003%
3043	Triose	3	0.003%
3044	glycolytic	3	0.003%
3045	holoenzyme	3	0.003%
3046	indole	3	0.003%
3047	triglyceride	3	0.003%
3048	Vitamin	3	0.003%
3049	nucleosome	3	0.003%
3050	assists	3	0.003%
3051	oligosaccharyl	3	0.003%
3052	consensus	3	0.003%
3053	S21	3	0.003%
3054	Phosphatase	3	0.003%
3055	Mpv17	3	0.003%
3056	StrS	3	0.003%
3057	hybrids	3	0.003%
3058	joining	3	0.003%
3059	propionyl	3	0.003%
3060	phosphatidyl	3	0.003%
3061	TRAM	3	0.003%
3062	Gly	3	0.003%
3063	Methylenetetrahydrofolate	3	0.003%
3064	excitation	3	0.003%
3065	desaturase	3	0.003%
3066	Xeroderma	3	0.003%
3067	pigmentosum	3	0.003%
3068	M3	3	0.003%
3069	Intermediate	3	0.003%
3070	chaperonin	3	0.003%
3071	metaphase	3	0.003%
3072	overall	3	0.003%
3073	dehydro	3	0.003%
3074	N2227	3	0.003%
3075	V1	3	0.003%
3076	sphingolipid	3	0.003%
3077	third	3	0.003%
3078	carbons	3	0.003%
3079	each	3	0.003%
3080	mediators	3	0.003%
3081	Stage	3	0.003%
3082	zeta	3	0.003%
3083	ferrochelatase	3	0.003%
3084	repressing	3	0.003%
3085	Globin	3	0.003%
3086	methylesterase	3	0.003%
3087	metastasis	3	0.003%
3088	delivery	3	0.003%
3089	towards	3	0.003%
3090	Importin	3	0.003%
3091	Molybdopterin	3	0.003%
3092	Chloride	3	0.003%
3093	atpase	3	0.003%
3094	Xanthine	3	0.003%
3095	Blue	3	0.003%
3096	asparaginase	3	0.003%
3097	Utp25	3	0.003%
3098	Mg2	3	0.003%
3099	sulfhydryl	3	0.003%
3100	p	3	0.003%
3101	undergo	3	0.003%
3102	UPF0052	3	0.003%
3103	Homologous	3	0.003%
3104	Associates	3	0.003%
3105	remains	3	0.003%
3106	Vta1	3	0.003%
3107	increasing	3	0.003%
3108	geranylgeranyl	3	0.003%
3109	ether	3	0.003%
3110	IA	3	0.003%
3111	variant	3	0.003%
3112	demethylation	3	0.003%
3113	STXBP	3	0.003%
3114	SEC1	3	0.003%
3115	Coatomer	3	0.003%
3116	DENN	3	0.003%
3117	polyhedral	3	0.003%
3118	pits	3	0.003%
3119	autotransporter	3	0.003%
3120	S11	3	0.003%
3121	Antitoxin	3	0.003%
3122	Key	3	0.003%
3123	oxaloacetate	3	0.003%
3124	Preprotein	3	0.003%
3125	exporters	3	0.003%
3126	plug	3	0.003%
3127	hydroxyethyl	3	0.003%
3128	hydroxymethyl	3	0.003%
3129	TMP	3	0.003%
3130	weight	3	0.003%
3131	haem	3	0.003%
3132	apolipoprotein	3	0.003%
3133	Nitrate	3	0.003%
3134	CHU	3	0.003%
3135	SPTR	3	0.003%
3136	transports	3	0.003%
3137	characteristic	3	0.003%
3138	Lon	3	0.003%
3139	generates	3	0.003%
3140	42	3	0.003%
3141	thiocarboxylated	3	0.003%
3142	huntingtin	3	0.003%
3143	tetrakisphosphate	3	0.003%
3144	programmed	3	0.003%
3145	49	3	0.003%
3146	Macrophage	3	0.003%
3147	ORC	3	0.003%
3148	origins	3	0.003%
3149	Ligand	3	0.003%
3150	seven	3	0.003%
3151	184	3	0.003%
3152	subsequent	3	0.003%
3153	structures	3	0.003%
3154	L55	3	0.003%
3155	lamellipodium	3	0.003%
3156	Steroid	3	0.003%
3157	phosphoribosyltransferase	3	0.003%
3158	VPS9	3	0.003%
3159	motile	3	0.003%
3160	extracellularly	3	0.003%
3161	1A	3	0.003%
3162	Heparan	3	0.003%
